{'Multi-pitch': 0.44848484848484854, 'Voice': 0.6597222222222222, 'Meter': 0.3076923076923077, 'Value': 0.5694135986134652, 'Harmony': 0.0, 'MV2H': 0.3970625954025687}
{'Multi-pitch': 0.4516129032258064, 'Voice': 0.8421052631578947, 'Meter': 0.19696969696969696, 'Value': 0.8728462236040937, 'Harmony': 0.0, 'MV2H': 0.4727068173914984}
{'Multi-pitch': 0.5038167938931297, 'Voice': 0.8846153846153846, 'Meter': 0.6666666666666666, 'Value': 0.9752756762102557, 'Harmony': 1.0, 'MV2H': 0.8060749042770873}
{'Multi-pitch': 0.5116279069767442, 'Voice': 0.6833333333333333, 'Meter': 0.17777777777777778, 'Value': 0.8333333333333334, 'Harmony': 1.0, 'MV2H': 0.6412144702842377}
{'Multi-pitch': 0.5, 'Voice': 0.4461640211640212, 'Meter': 0.2833333333333333, 'Value': 0.920894420419787, 'Harmony': 0.0, 'MV2H': 0.4300783549834283}
{'Multi-pitch': 0.27091633466135456, 'Voice': 0.8620689655172413, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6265970600357191}
{'Multi-pitch': 0.3741935483870968, 'Voice': 0.8928571428571429, 'Meter': 0.12121212121212122, 'Value': 0.9736842105263158, 'Harmony': 1.0, 'MV2H': 0.6723894045965354}
{'Multi-pitch': 0.6216216216216217, 'Voice': 0.9500000000000001, 'Meter': 0.14814814814814817, 'Value': 0.884708635797023, 'Harmony': 1.0, 'MV2H': 0.7208956811133586}
{'Multi-pitch': 0.3913043478260869, 'Voice': 0.8341463414634146, 'Meter': 0.08974358974358973, 'Value': 0.812374749498998, 'Harmony': 0.5, 'MV2H': 0.5255138057064178}
{'Multi-pitch': 0.225, 'Voice': 0.41666666666666663, 'Meter': 0.05128205128205128, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.3385897435897436}
{'Multi-pitch': 0.6153846153846153, 'Voice': 0.55, 'Meter': 0.38461538461538464, 'Value': 0.8957080828323313, 'Harmony': 0.5, 'MV2H': 0.5891416165664662}
{'Multi-pitch': 0.6620689655172415, 'Voice': 0.9111111111111111, 'Meter': 0.04424778761061947, 'Value': 0.9199748974262074, 'Harmony': 0.0, 'MV2H': 0.5074805523330359}
{'Multi-pitch': 0.3317535545023697, 'Voice': 0.8500000000000001, 'Meter': 0.0717948717948718, 'Value': 0.9053480475382004, 'Harmony': 0.0, 'MV2H': 0.4317792947670884}
{'Multi-pitch': 0.24719101123595508, 'Voice': 1.0, 'Meter': 0.23076923076923078, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.4955920484010372}
{'Multi-pitch': 0.358974358974359, 'Voice': 1.0, 'Meter': 0.11904761904761905, 'Value': 0.93915102933139, 'Harmony': 0.0, 'MV2H': 0.48343460147067363}
{'Multi-pitch': 0.7777777777777778, 'Voice': 0.923076923076923, 'Meter': 0.3333333333333333, 'Value': 0.9808464627741736, 'Harmony': 0.0, 'MV2H': 0.6030068993924416}
{'Multi-pitch': 0.4967320261437908, 'Voice': 1.0, 'Meter': 0.06060606060606061, 'Value': 0.9518652689995376, 'Harmony': 0.5, 'MV2H': 0.6018406711498778}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.4065040650406504, 'Voice': 0.9545454545454547, 'Meter': 0.08641975308641975, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.489493854534505}
{'Multi-pitch': 0.3714285714285714, 'Voice': 1.0, 'Meter': 0.12162162162162163, 'Value': 0.6526721725491542, 'Harmony': 0.9090909090909091, 'MV2H': 0.6109626549380514}
{'Multi-pitch': 0.6535947712418301, 'Voice': 1.0, 'Meter': 0.0, 'Value': 0.9574040844227977, 'Harmony': 1.0, 'MV2H': 0.7221997711329255}
{'Multi-pitch': 0.456140350877193, 'Voice': 0.8412698412698412, 'Meter': 0.2325581395348837, 'Value': 0.8547579352770884, 'Harmony': 1.0, 'MV2H': 0.6769452533918013}
{'Multi-pitch': 0.48809523809523814, 'Voice': 0.9427083333333333, 'Meter': 0.0641025641025641, 'Value': 0.9456521739130435, 'Harmony': 0.0, 'MV2H': 0.4881116618888358}
{'Multi-pitch': 0.36363636363636365, 'Voice': 1.0, 'Meter': 0.11764705882352942, 'Value': 0.8542342170513064, 'Harmony': 0.0, 'MV2H': 0.46710352790223997}
{'Multi-pitch': 0.3478260869565217, 'Voice': 1.0, 'Meter': 0.4166666666666667, 'Value': 0.9170013386880856, 'Harmony': 1.0, 'MV2H': 0.7362988184622548}
pass
{'Multi-pitch': 0.2788844621513944, 'Voice': 0.8823529411764706, 'Meter': 0.19318181818181818, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.5708838443019366}
{'Multi-pitch': 0.5957446808510638, 'Voice': 1.0, 'Meter': 0.4166666666666667, 'Value': 0.8810480015299291, 'Harmony': 0.0, 'MV2H': 0.5786918698095318}
{'Multi-pitch': 0.4606413994169096, 'Voice': 0.8333333333333334, 'Meter': 0.04183006535947712, 'Value': 0.9700854319465179, 'Harmony': 1.0, 'MV2H': 0.6611780460112476}
pass
{'Multi-pitch': 0.5555555555555556, 'Voice': 0.5155257936507938, 'Meter': 0.2857142857142857, 'Value': 0.7834381871234655, 'Harmony': 0.0, 'MV2H': 0.4280467644088201}
{'Multi-pitch': 0.22535211267605632, 'Voice': 1.0, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6450704225352112}
{'Multi-pitch': 0.7368421052631579, 'Voice': 1.0, 'Meter': 0.6666666666666666, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.8807017543859649}
{'Multi-pitch': 0.49315068493150693, 'Voice': 0.9285714285714286, 'Meter': 0.21794871794871795, 'Value': 0.962973846605936, 'Harmony': 1.0, 'MV2H': 0.7205289356115179}
{'Multi-pitch': 0.46491228070175433, 'Voice': 1.0, 'Meter': 0.04081632653061225, 'Value': 0.8138621081620968, 'Harmony': 1.0, 'MV2H': 0.6639181430788927}
{'Multi-pitch': 0.6984126984126984, 'Voice': 0.6190476190476191, 'Meter': 0.019230769230769232, 'Value': 0.875, 'Harmony': 0.0, 'MV2H': 0.44233821733821727}
{'Multi-pitch': 0.36180904522613067, 'Voice': 0.8076923076923077, 'Meter': 0.013245033112582781, 'Value': 0.9206451612903226, 'Harmony': 1.0, 'MV2H': 0.6206783094642688}
{'Multi-pitch': 0.5, 'Voice': 0.6236559139784946, 'Meter': 0.1875, 'Value': 0.8529411764705882, 'Harmony': 0.0, 'MV2H': 0.43281941808981655}
{'Multi-pitch': 0.35121951219512193, 'Voice': 1.0, 'Meter': 0.5256410256410257, 'Value': 0.9715433161216295, 'Harmony': 1.0, 'MV2H': 0.7696807707915554}
{'Multi-pitch': 0.7208121827411167, 'Voice': 0.8333333333333333, 'Meter': 0.3768115942028986, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.5861914220554697}
{'Multi-pitch': 0.5076923076923077, 'Voice': 0.868421052631579, 'Meter': 0.2777777777777778, 'Value': 0.9160943676484834, 'Harmony': 1.0, 'MV2H': 0.7139971011500296}
{'Multi-pitch': 0.5785123966942148, 'Voice': 0.7857142857142857, 'Meter': 0.19444444444444445, 'Value': 0.952289156626506, 'Harmony': 1.0, 'MV2H': 0.7021920566958901}
{'Multi-pitch': 0.3738317757009346, 'Voice': 0.6862745098039216, 'Meter': 0.15555555555555556, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.44313236821208235}
