{'Clef': 15, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 42, 'NoteInsertion': 58, 'NoteSpelling': 20, 'NoteDuration': 32, 'StemDirection': 16, 'Beams': 16, 'Tie': 0, 'RestInsertion': 11, 'RestDeletion': 14, 'RestDuration': 1, 'StaffAssignment': 1, 'Voice': 16, 'n_Note': 62, 'n_Chord': 16, 'n_Rest': 15}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 8, 'NoteInsertion': 40, 'NoteSpelling': 21, 'NoteDuration': 1, 'StemDirection': 4, 'Beams': 18, 'Tie': 0, 'RestInsertion': 13, 'RestDeletion': 3, 'RestDuration': 2, 'StaffAssignment': 1, 'Voice': 17, 'n_Note': 31, 'n_Chord': 0, 'n_Rest': 5}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 26, 'NoteInsertion': 37, 'NoteSpelling': 0, 'NoteDuration': 2, 'StemDirection': 6, 'Beams': 7, 'Tie': 0, 'RestInsertion': 5, 'RestDeletion': 2, 'RestDuration': 0, 'StaffAssignment': 2, 'Voice': 2, 'n_Note': 48, 'n_Chord': 12, 'n_Rest': 2}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 10, 'NoteInsertion': 37, 'NoteSpelling': 0, 'NoteDuration': 5, 'StemDirection': 0, 'Beams': 4, 'Tie': 0, 'RestInsertion': 13, 'RestDeletion': 4, 'RestDuration': 1, 'StaffAssignment': 15, 'Voice': 0, 'n_Note': 34, 'n_Chord': 0, 'n_Rest': 5}
{'Clef': 4, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 27, 'NoteInsertion': 57, 'NoteSpelling': 21, 'NoteDuration': 24, 'StemDirection': 12, 'Beams': 8, 'Tie': 0, 'RestInsertion': 3, 'RestDeletion': 2, 'RestDuration': 2, 'StaffAssignment': 7, 'Voice': 2, 'n_Note': 17, 'n_Chord': 34, 'n_Rest': 4}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 131, 'NoteInsertion': 64, 'NoteSpelling': 3, 'NoteDuration': 13, 'StemDirection': 2, 'Beams': 19, 'Tie': 0, 'RestInsertion': 29, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 6, 'Voice': 4, 'n_Note': 33, 'n_Chord': 126, 'n_Rest': 0}
{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 69, 'NoteInsertion': 40, 'NoteSpelling': 11, 'NoteDuration': 2, 'StemDirection': 6, 'Beams': 21, 'Tie': 2, 'RestInsertion': 6, 'RestDeletion': 13, 'RestDuration': 1, 'StaffAssignment': 7, 'Voice': 1, 'n_Note': 50, 'n_Chord': 47, 'n_Rest': 14}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 8, 'NoteInsertion': 16, 'NoteSpelling': 0, 'NoteDuration': 23, 'StemDirection': 2, 'Beams': 18, 'Tie': 3, 'RestInsertion': 4, 'RestDeletion': 2, 'RestDuration': 1, 'StaffAssignment': 0, 'Voice': 13, 'n_Note': 28, 'n_Chord': 6, 'n_Rest': 4}
{'Clef': 8, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 41, 'NoteInsertion': 76, 'NoteSpelling': 1, 'NoteDuration': 29, 'StemDirection': 24, 'Beams': 28, 'Tie': 0, 'RestInsertion': 14, 'RestDeletion': 1, 'RestDuration': 3, 'StaffAssignment': 4, 'Voice': 16, 'n_Note': 50, 'n_Chord': 30, 'n_Rest': 4}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 100, 'NoteInsertion': 45, 'NoteSpelling': 2, 'NoteDuration': 7, 'StemDirection': 10, 'Beams': 7, 'Tie': 0, 'RestInsertion': 8, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 6, 'Voice': 0, 'n_Note': 52, 'n_Chord': 65, 'n_Rest': 0}
{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 12, 'NoteInsertion': 17, 'NoteSpelling': 7, 'NoteDuration': 5, 'StemDirection': 3, 'Beams': 5, 'Tie': 0, 'RestInsertion': 18, 'RestDeletion': 8, 'RestDuration': 3, 'StaffAssignment': 12, 'Voice': 12, 'n_Note': 29, 'n_Chord': 8, 'n_Rest': 13}
