{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 71, 'NoteInsertion': 108, 'NoteSpelling': 0, 'NoteDuration': 7, 'StemDirection': 4, 'Beams': 4, 'Tie': 0, 'RestInsertion': 38, 'RestDeletion': 11, 'RestDuration': 4, 'StaffAssignment': 0, 'Voice': 3, 'n_Note': 62, 'n_Chord': 16, 'n_Rest': 15}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 31, 'NoteInsertion': 42, 'NoteSpelling': 0, 'NoteDuration': 0, 'StemDirection': 0, 'Beams': 0, 'Tie': 0, 'RestInsertion': 5, 'RestDeletion': 3, 'RestDuration': 2, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 31, 'n_Chord': 0, 'n_Rest': 5}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 56, 'NoteInsertion': 30, 'NoteSpelling': 1, 'NoteDuration': 4, 'StemDirection': 2, 'Beams': 4, 'Tie': 0, 'RestInsertion': 24, 'RestDeletion': 2, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 48, 'n_Chord': 12, 'n_Rest': 2}
{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 29, 'NoteInsertion': 44, 'NoteSpelling': 5, 'NoteDuration': 5, 'StemDirection': 5, 'Beams': 5, 'Tie': 1, 'RestInsertion': 10, 'RestDeletion': 4, 'RestDuration': 0, 'StaffAssignment': 1, 'Voice': 1, 'n_Note': 34, 'n_Chord': 0, 'n_Rest': 5}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 48, 'NoteInsertion': 48, 'NoteSpelling': 3, 'NoteDuration': 3, 'StemDirection': 0, 'Beams': 0, 'Tie': 0, 'RestInsertion': 5, 'RestDeletion': 3, 'RestDuration': 1, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 17, 'n_Chord': 34, 'n_Rest': 4}
{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 152, 'NoteInsertion': 130, 'NoteSpelling': 0, 'NoteDuration': 3, 'StemDirection': 7, 'Beams': 2, 'Tie': 0, 'RestInsertion': 25, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 5, 'n_Note': 33, 'n_Chord': 126, 'n_Rest': 0}
pass
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 29, 'NoteInsertion': 30, 'NoteSpelling': 1, 'NoteDuration': 0, 'StemDirection': 1, 'Beams': 1, 'Tie': 0, 'RestInsertion': 9, 'RestDeletion': 4, 'RestDuration': 0, 'StaffAssignment': 5, 'Voice': 0, 'n_Note': 28, 'n_Chord': 6, 'n_Rest': 4}
{'Clef': 1, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 74, 'NoteInsertion': 49, 'NoteSpelling': 4, 'NoteDuration': 4, 'StemDirection': 5, 'Beams': 5, 'Tie': 0, 'RestInsertion': 25, 'RestDeletion': 3, 'RestDuration': 1, 'StaffAssignment': 1, 'Voice': 0, 'n_Note': 50, 'n_Chord': 30, 'n_Rest': 4}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 98, 'NoteInsertion': 78, 'NoteSpelling': 6, 'NoteDuration': 3, 'StemDirection': 10, 'Beams': 7, 'Tie': 0, 'RestInsertion': 22, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 4, 'Voice': 1, 'n_Note': 52, 'n_Chord': 65, 'n_Rest': 0}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 29, 'NoteInsertion': 33, 'NoteSpelling': 2, 'NoteDuration': 5, 'StemDirection': 2, 'Beams': 5, 'Tie': 0, 'RestInsertion': 10, 'RestDeletion': 6, 'RestDuration': 2, 'StaffAssignment': 6, 'Voice': 3, 'n_Note': 29, 'n_Chord': 8, 'n_Rest': 13}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 63, 'NoteInsertion': 104, 'NoteSpelling': 4, 'NoteDuration': 5, 'StemDirection': 4, 'Beams': 5, 'Tie': 0, 'RestInsertion': 24, 'RestDeletion': 10, 'RestDuration': 5, 'StaffAssignment': 2, 'Voice': 0, 'n_Note': 64, 'n_Chord': 4, 'n_Rest': 17}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 105, 'NoteInsertion': 59, 'NoteSpelling': 2, 'NoteDuration': 11, 'StemDirection': 7, 'Beams': 7, 'Tie': 4, 'RestInsertion': 16, 'RestDeletion': 12, 'RestDuration': 5, 'StaffAssignment': 0, 'Voice': 4, 'n_Note': 68, 'n_Chord': 48, 'n_Rest': 18}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 48, 'NoteInsertion': 21, 'NoteSpelling': 4, 'NoteDuration': 10, 'StemDirection': 7, 'Beams': 7, 'Tie': 7, 'RestInsertion': 0, 'RestDeletion': 5, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 4, 'n_Note': 60, 'n_Chord': 0, 'n_Rest': 5}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 131, 'NoteInsertion': 96, 'NoteSpelling': 0, 'NoteDuration': 2, 'StemDirection': 1, 'Beams': 1, 'Tie': 0, 'RestInsertion': 12, 'RestDeletion': 7, 'RestDuration': 1, 'StaffAssignment': 0, 'Voice': 1, 'n_Note': 97, 'n_Chord': 36, 'n_Rest': 8}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 13, 'NoteInsertion': 23, 'NoteSpelling': 1, 'NoteDuration': 2, 'StemDirection': 1, 'Beams': 4, 'Tie': 0, 'RestInsertion': 7, 'RestDeletion': 5, 'RestDuration': 2, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 17, 'n_Chord': 0, 'n_Rest': 7}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 78, 'NoteInsertion': 92, 'NoteSpelling': 0, 'NoteDuration': 6, 'StemDirection': 8, 'Beams': 8, 'Tie': 1, 'RestInsertion': 20, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 5, 'n_Note': 86, 'n_Chord': 0, 'n_Rest': 0}
pass
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 62, 'NoteInsertion': 79, 'NoteSpelling': 3, 'NoteDuration': 8, 'StemDirection': 4, 'Beams': 8, 'Tie': 0, 'RestInsertion': 14, 'RestDeletion': 11, 'RestDuration': 3, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 62, 'n_Chord': 8, 'n_Rest': 14}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 30, 'NoteInsertion': 24, 'NoteSpelling': 1, 'NoteDuration': 2, 'StemDirection': 1, 'Beams': 1, 'Tie': 1, 'RestInsertion': 8, 'RestDeletion': 18, 'RestDuration': 2, 'StaffAssignment': 2, 'Voice': 1, 'n_Note': 20, 'n_Chord': 14, 'n_Rest': 22}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 90, 'NoteInsertion': 152, 'NoteSpelling': 3, 'NoteDuration': 9, 'StemDirection': 8, 'Beams': 8, 'Tie': 6, 'RestInsertion': 27, 'RestDeletion': 8, 'RestDuration': 0, 'StaffAssignment': 2, 'Voice': 1, 'n_Note': 76, 'n_Chord': 24, 'n_Rest': 8}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 58, 'NoteInsertion': 37, 'NoteSpelling': 0, 'NoteDuration': 4, 'StemDirection': 4, 'Beams': 4, 'Tie': 2, 'RestInsertion': 19, 'RestDeletion': 7, 'RestDuration': 5, 'StaffAssignment': 2, 'Voice': 1, 'n_Note': 62, 'n_Chord': 2, 'n_Rest': 12}
{'Clef': 3, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 87, 'NoteInsertion': 125, 'NoteSpelling': 7, 'NoteDuration': 8, 'StemDirection': 2, 'Beams': 7, 'Tie': 0, 'RestInsertion': 32, 'RestDeletion': 3, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 5, 'n_Note': 65, 'n_Chord': 32, 'n_Rest': 5}
{'Clef': 1, 'KeySignature': 2, 'TimeSignature': 0, 'NoteDeletion': 38, 'NoteInsertion': 49, 'NoteSpelling': 4, 'NoteDuration': 5, 'StemDirection': 3, 'Beams': 4, 'Tie': 0, 'RestInsertion': 39, 'RestDeletion': 3, 'RestDuration': 1, 'StaffAssignment': 3, 'Voice': 3, 'n_Note': 20, 'n_Chord': 23, 'n_Rest': 6}
pass
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 140, 'NoteInsertion': 78, 'NoteSpelling': 0, 'NoteDuration': 1, 'StemDirection': 1, 'Beams': 1, 'Tie': 0, 'RestInsertion': 26, 'RestDeletion': 10, 'RestDuration': 1, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 141, 'n_Chord': 0, 'n_Rest': 12}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 114, 'NoteInsertion': 116, 'NoteSpelling': 4, 'NoteDuration': 0, 'StemDirection': 1, 'Beams': 13, 'Tie': 0, 'RestInsertion': 7, 'RestDeletion': 0, 'RestDuration': 0, 'StaffAssignment': 1, 'Voice': 0, 'n_Note': 128, 'n_Chord': 0, 'n_Rest': 0}
{'Clef': 0, 'KeySignature': 0, 'TimeSignature': 0, 'NoteDeletion': 31, 'NoteInsertion': 40, 'NoteSpelling': 1, 'NoteDuration': 7, 'StemDirection': 7, 'Beams': 7, 'Tie': 0, 'RestInsertion': 8, 'RestDeletion': 1, 'RestDuration': 0, 'StaffAssignment': 0, 'Voice': 0, 'n_Note': 38, 'n_Chord': 0, 'n_Rest': 2}
